corpus-id	filename	xmlid	author-name	title	author-birth	author-death	author-gender	author-ids	reference-year	first-edition	digital-edition	print-edition	provenance	title-ids	language	numwords	subgenre	narrative-perspective	size-category	reprint-count	time-slot
																					
ELTeC-geo	GEO00018_Chonkadze	GEO00018_Chonkadze	დანიელ ჭონქაძე	სურამის ციხე	1830	1860	M	viaf:47747330 wikidata:Q2584665	1859	1859	unspecified	1932	National Parliamentary Library of Georgia	wikidata:Q1408982	geo	11918	NA	heterodiegetic	short	high	T1
																					
ELTeC-geo	GEO00029_Ardaziani	GEO00029_Ardaziani	ლავრენტი არდაზიანი	სოლომონ ისაკიჩ მეჯღანუაშვილი: ELTeC                    edition	1859	1894	M	viaf:68417514 wikidata:Q2090607	1861	1861	unspecified	1984	National Parliamentary Library of Georgia	wikidata:unspecified	geo	23896	NA	heterodiegetic	short	high	T2
																					
ELTeC-geo	GEO00008_Chavchavadze	GEO00008_Chavchavadze	ილია ჭავჭავაძე	კაცია-ადამიანი?!	1837	1907	M	viaf:51723484 wikidata:Q333411	1863	1863	1988	NA	National Parliamentary Library of Georgia	wikidata:Q16370990	geo	13157	NA	heterodiegetic	short	high	T2
																					
ELTeC-geo	GEO00007_Chavchavadze	glaxis_naambobi	ილია ჭავჭავაძე	გლახის ნაამბობი	1837	1907	M	viaf:51723484 wikidata:Q333411	1863	1863	1988	NA	National Parliamentary Library of Georgia	wikidata:unspecified	geo	20708	NA	heterodiegetic	short	high	T2
																					
ELTeC-geo	GEO00017_Purceladze	GEO00017_Purceladze	ანტონ ფურცელაძე	მართა	1859	1894	M	viaf:57869165 wikidata:Q4383941	1866	1866	2004	1984	National Parliamentary Library of Georgia/Ilia State University	wikidata:unspecified	geo	34878	NA	heterodiegetic	short	high	T2
																					
ELTeC-geo	GEO00002_Kazbegi	GEO00002_Kazbegi	ალექსანდრე ყაზბეგი	მამის მკვლელი	1848	1893	M	viaf:45099789 wikidata:Q741373	1882	1882	2004	1948	National Parliamentary Library of Georgia/Ilia State University	wikidata:Q5268017	geo	50153	NA	heterodiegetic	medium	high	T3
																					
ELTeC-geo	GEO00001_Kazbegi	GEO00001_Kazbegi	ალექსანდრე ყაზბეგი	ხევისბერი გოჩა	1848	1893	M	viaf:45099789 wikidata:Q741373	1884	1884	2004	1948	National Parliamentary Library of Georgia/Ilia State University	wikidata:Q25542732	geo	15926	NA	heterodiegetic	short	high	T3
																					
ELTeC-geo	GEO00003_Kazbegi	GEO00003_Kazbegi	ალექსანდრე ყაზბეგი	მოძღვარი	1848	1893	M	viaf:45099789 wikidata:Q741373	1885	1885	2004	1948	National Parliamentary Library of Georgia/Ilia State University	wikidata:unspecified	geo	38399	NA	heterodiegetic	short	high	T3
																					
ELTeC-geo	GEO00009_Chavchavadze	GEO00009_Chavchavadze	ილია ჭავჭავაძე	ოთარაანთ ქვრივი	1837	1907	M	viaf:51723484 wikidata:Q333411	1888	1888	1988	NA	National Parliamentary Library of Georgia	wikidata:unspecified	geo	15926	NA	heterodiegetic	short	high	T3
																					
ELTeC-geo	GEO00022_Tsereteli	GEO00022_Tsereteli	გიორგი წერეთელი	მამიდა ასმათი	1859	1894	M	viaf:159917596 wikidata:Q4504505	1888	1888	unspecified	1926	National Parliamentary Library of Georgia	wikidata:unspecified	geo	15189	NA	heterodiegetic	short	high	T3
																					
ELTeC-geo	GEO00023_Tsereteli	GEO00005_Ninoshvili	გიორგი წერეთელი	პირველი ნაბიჯი	1859	1894	M	viaf:159917596 wikidata:Q4504505	1891	1891	unspecified	1926	National Parliamentary Library of Georgia	wikidata:unspecified	geo	55046	NA	heterodiegetic	short	high	T3
																					
ELTeC-geo	GEO00005_Ninoshvili	GEO00005_Ninoshvili	ეგნატე ნინოშვილი	პარტახი	1859	1894	M	viaf:9687749 wikidata:Q3653149	1891	1891	2004	1935	National Parliamentary Library of Georgia/Ilia State                        University	wikidata:unspecified	geo	13157	NA	heterodiegetic	short	high	T3
																					
